channel,feature_name,feature_value,object_id,plate_column,plate_row,platedir,region,timepoint
1,q0_500,2302.0,4,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2750.0,4,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9363.0,4,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,278.0,5,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1966.0,5,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2281.0,5,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2728.0,5,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8056.0,5,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,299.0,6,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1933.0,6,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2436.0,6,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2919.0,6,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,6539.0,6,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,297.0,7,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1999.0,7,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2406.0,7,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2839.5,7,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,7108.0,7,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,251.0,8,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1821.0,8,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2266.0,8,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2663.0,8,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8056.0,8,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,286.0,9,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1764.0,9,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2202.5,9,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2627.0,9,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,7770.0,9,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,334.0,10,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1700.0,10,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2149.0,10,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2655.0,10,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,5832.0,10,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,513.0,11,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1465.0,11,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,1798.0,11,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2484.0,11,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,5399.0,11,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,498.0,12,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1604.0,12,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2106.5,12,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2655.0,12,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,10581.0,12,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,414.0,13,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1790.0,13,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2187.0,13,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,2790.0,13,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8824.0,13,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,403.0,14,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1799.0,14,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2438.0,14,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3027.0,14,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,5755.0,14,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,398.0,15,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1816.25,15,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2448.0,15,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3100.0,15,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,5332.0,15,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,457.0,16,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,2076.0,16,2,A,200129MZ072BBB07,l100seg,72
